date,date_id,year,month,month_name,quarter,day,day_name,week,is_weekend
2017-10-24 14:23:58,20171024,2017,10,October,4,24,Tuesday,43,0
2017-10-25 13:32:46,20171025,2017,10,October,4,25,Wednesday,43,0
2017-10-26 15:54:26,20171026,2017,10,October,4,26,Thursday,43,0
2017-10-27 19:00:02,20171027,2017,10,October,4,27,Friday,43,0
2017-10-28 21:26:26,20171028,2017,10,October,4,28,Saturday,43,1
2017-10-29 23:44:13,20171029,2017,10,October,4,29,Sunday,43,1
2017-10-30 19:03:45,20171030,2017,10,October,4,30,Monday,44,0
2017-10-31 09:59:07,20171031,2017,10,October,4,31,Tuesday,44,0
2017-11-01 19:01:18,20171101,2017,11,November,4,1,Wednesday,44,0
2017-11-02 14:51:11,20171102,2017,11,November,4,2,Thursday,44,0
2017-11-03 12:56:49,20171103,2017,11,November,4,3,Friday,44,0
2017-11-04 12:14:16,20171104,2017,11,November,4,4,Saturday,44,1
2017-11-05 11:12:52,20171105,2017,11,November,4,5,Sunday,44,1
2017-11-06 18:20:00,20171106,2017,11,November,4,6,Monday,45,0
2017-11-07 09:23:40,20171107,2017,11,November,4,7,Tuesday,45,0
2017-11-08 17:08:56,20171108,2017,11,November,4,8,Wednesday,45,0
2017-11-09 21:08:01,20171109,2017,11,November,4,9,Thursday,45,0
2017-11-10 17:21:48,20171110,2017,11,November,4,10,Friday,45,0
2017-11-11 22:16:49,20171111,2017,11,November,4,11,Saturday,45,1
2017-11-12 17:39:03,20171112,2017,11,November,4,12,Sunday,45,1
2017-11-13 10:07:36,20171113,2017,11,November,4,13,Monday,46,0
2017-11-14 08:13:32,20171114,2017,11,November,4,14,Tuesday,46,0
2017-11-15 11:31:41,20171115,2017,11,November,4,15,Wednesday,46,0
2017-11-16 14:32:06,20171116,2017,11,November,4,16,Thursday,46,0
2017-11-17 21:14:42,20171117,2017,11,November,4,17,Friday,46,0
2017-11-18 19:28:06,20171118,2017,11,November,4,18,Saturday,46,1
2017-11-19 16:12:34,20171119,2017,11,November,4,19,Sunday,46,1
2017-11-20 16:21:04,20171120,2017,11,November,4,20,Monday,47,0
2017-11-21 00:03:41,20171121,2017,11,November,4,21,Tuesday,47,0
2017-11-22 11:32:22,20171122,2017,11,November,4,22,Wednesday,47,0
2017-11-23 14:31:36,20171123,2017,11,November,4,23,Thursday,47,0
2017-11-24 21:27:48,20171124,2017,11,November,4,24,Friday,47,0
2017-11-25 16:23:49,20171125,2017,11,November,4,25,Saturday,47,1
2017-11-26 17:49:46,20171126,2017,11,November,4,26,Sunday,47,1
2017-11-27 19:24:52,20171127,2017,11,November,4,27,Monday,48,0
2017-11-28 21:00:44,20171128,2017,11,November,4,28,Tuesday,48,0
2017-11-29 17:43:34,20171129,2017,11,November,4,29,Wednesday,48,0
2017-11-30 22:02:15,20171130,2017,11,November,4,30,Thursday,48,0
2017-12-01 20:39:26,20171201,2017,12,December,4,1,Friday,48,0
2017-12-02 14:28:03,20171202,2017,12,December,4,2,Saturday,48,1
2017-12-03 20:22:53,20171203,2017,12,December,4,3,Sunday,48,1
2017-12-04 17:24:57,20171204,2017,12,December,4,4,Monday,49,0
2017-12-05 10:34:52,20171205,2017,12,December,4,5,Tuesday,49,0
2017-12-06 15:26:09,20171206,2017,12,December,4,6,Wednesday,49,0
2017-12-07 09:40:04,20171207,2017,12,December,4,7,Thursday,49,0
2017-12-08 09:42:43,20171208,2017,12,December,4,8,Friday,49,0
2017-12-09 17:27:58,20171209,2017,12,December,4,9,Saturday,49,1
2017-12-10 23:35:48,20171210,2017,12,December,4,10,Sunday,49,1
2017-12-11 21:43:24,20171211,2017,12,December,4,11,Monday,50,0
2017-12-12 13:56:04,20171212,2017,12,December,4,12,Tuesday,50,0
2017-12-13 17:00:56,20171213,2017,12,December,4,13,Wednesday,50,0
2017-12-14 09:06:34,20171214,2017,12,December,4,14,Thursday,50,0
2017-12-15 00:06:10,20171215,2017,12,December,4,15,Friday,50,0
2017-12-16 13:51:18,20171216,2017,12,December,4,16,Saturday,50,1
2017-12-17 19:40:26,20171217,2017,12,December,4,17,Sunday,50,1
2017-12-18 06:12:28,20171218,2017,12,December,4,18,Monday,51,0
2017-12-19 13:02:13,20171219,2017,12,December,4,19,Tuesday,51,0
2017-12-20 23:45:07,20171220,2017,12,December,4,20,Wednesday,51,0
2017-12-21 17:43:41,20171221,2017,12,December,4,21,Thursday,51,0
2017-12-22 00:17:37,20171222,2017,12,December,4,22,Friday,51,0
2017-12-23 15:50:03,20171223,2017,12,December,4,23,Saturday,51,1
